Name,License Number,Address,Start of Validity,End of Validity,Latitude,Longitude
Gedi Trafik Bt.,DKE1010000095,"1188 Budapest, Nemes utca 51-53. B lház. földszint 1. ajtó",2023.12.15,2033.06.30,47.4111534,19.1973303
GEGO Cigarette Bt.,DKE1010000333,1094 Budapest 09. ker. Üllői út 89/a,2019.01.01,2033.06.30,47.4825529,19.07866
GEGO Cigarette Bt.,DKE1600000328,1084 Budapest 08. ker. Déri Miksa utca 1,2018.12.27,2033.06.30,47.4924638,19.0732929
GEGO Cigarette Bt.,DKE1700000181,1015 Budapest 01. ker. Fő utca 37/C.,2013.07.01,2033.06.30,47.5051805,19.0384162
GEGO Cigarette Bt.,DKE1700000220,"1013 Budapest 01. ker. Déli pályaudvar, peronszint, utca front",2013.07.01,2033.06.30,,
Gellért-Dohány Bt,DKE1010000130,1117 Budapest 11. ker. Kőrösy József utca 7-9.,2013.07.01,2033.06.30,47.4746656,19.0474113
GFAMILY TABAK Bt.,DKE1010000212,1091 Budapest 09. ker. Népliget gyalogos aluljáró 1.,2013.07.01,2033.06.30,,
Gfamily Tabak Bt.,DKE1010000298,"1098 Budapest, Dési Huber utca 20. fsz. 14.",2024.08.27,2033.06.30,47.468923,19.1108944
GFAMILY TABAK Bt.,DKE1600000285,1083 Budapest 08. ker. Práter utca 59.,2013.07.01,2033.06.30,47.4866847,19.0803044
GFAMILY TABAK Bt.,DKE1600000290,1087 Budapest 08. ker. Kerepesi út 1-5.,2013.07.01,2033.06.30,47.4986114,19.08391
GL Building Trafik Bt,DKE1700000225,1048 Budapest 04. ker. Csíkszentiván utca 6.,2013.07.01,2033.06.30,47.5969965,19.1209722
GL Building Trafik Bt,DKE1700000226,1041 Budapest 04. ker. Berzeviczy Gergely utca 17. A. ép.,2013.07.01,2033.06.30,47.5642636,19.0840235
Golido Bt.,DKE1010000098,1194 Budapest 19. ker. Szegfű utca 21,2013.07.01,2033.06.30,47.5475722,18.96854
Gyenes Tabak Bt.,DKE1700000033,"1032 Budapest, Gyenes utca 2.",2023.04.14,2033.06.30,47.5430121,19.0354204
Gyöngy&Gyöngy Bt,DKE1700000079,1046 Budapest 04. ker. Óceánárok utca 29,2013.07.01,2033.06.30,47.5789188,19.1096444
HADRON-LILO Bt.,DKE1010000334,"1113 Budapest, Villányi út 74. földszint 2. ajtó",2025.06.17,2033.06.30,47.4815567,19.0330592
Happy Trafik Bt.,DKE1700000065,1039 Budapest 03. ker. Jendrassik utca 2.,2013.07.01,2033.06.30,47.5993364,19.0483421
Három BM Market Bt.,DKE1700000003,"1041 Budapest, Bárdos
 Artúr utca 71422/9. hrsz.",2024.09.19,2033.06.30,47.5622592,19.1009287
Három BM Market ker Bt.,DKE1700000004,"1042 Budapest, Árpád út 56.",2024.09.19,2033.06.30,47.5608719,19.0861059
Háromtrafik Bt.,DKE1010000064,1224 Budapest 22. ker. Barackos út 1.,2013.07.01,2033.06.30,47.4043267,18.9910707
Háromtrafik Bt.,DKE1010000068,1225 Budapest 22. ker. Nagytétényi út 216.,2013.07.01,2033.06.30,47.3996829,19.0032993
Háromtrafik Bt.,DKE1010000070,"1223 Budapest, Rákóczi út 20/A.",2024.07.08,2033.06.30,47.4070466,19.0067084
